customer_id,persona,channel,acq_date,acquisition_month,adstocked_spend,expected_customers_channel_month,acv,monthly_retention,expansion_rate,sales_cycle_days
0,Self_Serve_Growth,Paid_Search,2024-01-29,1,300000.0,350.26382682995643,500,0.925,0.01,3
1,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
2,Mid_Market_Pragmatist,Paid_Search,2024-01-11,1,300000.0,350.26382682995643,1500,0.955,0.08,35
3,Self_Serve_Growth,Paid_Search,2024-01-21,1,300000.0,350.26382682995643,500,0.925,0.01,3
4,Self_Serve_Growth,Paid_Search,2024-01-24,1,300000.0,350.26382682995643,500,0.925,0.01,3
5,Self_Serve_Growth,Paid_Search,2024-01-21,1,300000.0,350.26382682995643,500,0.925,0.01,3
6,Self_Serve_Growth,Paid_Search,2024-01-12,1,300000.0,350.26382682995643,500,0.925,0.01,3
7,Self_Serve_Growth,Paid_Search,2024-01-02,1,300000.0,350.26382682995643,500,0.925,0.01,3
8,Mid_Market_Pragmatist,Paid_Search,2024-01-21,1,300000.0,350.26382682995643,1500,0.955,0.08,35
9,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
10,Self_Serve_Growth,Paid_Search,2024-01-12,1,300000.0,350.26382682995643,500,0.925,0.01,3
11,Mid_Market_Pragmatist,Paid_Search,2024-01-27,1,300000.0,350.26382682995643,1500,0.955,0.08,35
12,Self_Serve_Growth,Paid_Search,2024-01-10,1,300000.0,350.26382682995643,500,0.925,0.01,3
13,Mid_Market_Pragmatist,Paid_Search,2024-01-28,1,300000.0,350.26382682995643,1500,0.955,0.08,35
14,Self_Serve_Growth,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,500,0.925,0.01,3
15,Mid_Market_Pragmatist,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,1500,0.955,0.08,35
16,Mid_Market_Pragmatist,Paid_Search,2024-01-23,1,300000.0,350.26382682995643,1500,0.955,0.08,35
17,Self_Serve_Growth,Paid_Search,2024-01-25,1,300000.0,350.26382682995643,500,0.925,0.01,3
18,Mid_Market_Pragmatist,Paid_Search,2024-01-19,1,300000.0,350.26382682995643,1500,0.955,0.08,35
19,Self_Serve_Growth,Paid_Search,2024-01-09,1,300000.0,350.26382682995643,500,0.925,0.01,3
20,Mid_Market_Pragmatist,Paid_Search,2024-01-04,1,300000.0,350.26382682995643,1500,0.955,0.08,35
21,Self_Serve_Growth,Paid_Search,2024-01-14,1,300000.0,350.26382682995643,500,0.925,0.01,3
22,Self_Serve_Growth,Paid_Search,2024-01-09,1,300000.0,350.26382682995643,500,0.925,0.01,3
23,Mid_Market_Pragmatist,Paid_Search,2024-01-02,1,300000.0,350.26382682995643,1500,0.955,0.08,35
24,Self_Serve_Growth,Paid_Search,2024-01-15,1,300000.0,350.26382682995643,500,0.925,0.01,3
25,Self_Serve_Growth,Paid_Search,2024-01-12,1,300000.0,350.26382682995643,500,0.925,0.01,3
26,Self_Serve_Growth,Paid_Search,2024-01-15,1,300000.0,350.26382682995643,500,0.925,0.01,3
27,Mid_Market_Pragmatist,Paid_Search,2024-01-17,1,300000.0,350.26382682995643,1500,0.955,0.08,35
28,Mid_Market_Pragmatist,Paid_Search,2024-01-08,1,300000.0,350.26382682995643,1500,0.955,0.08,35
29,Self_Serve_Growth,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,500,0.925,0.01,3
30,Self_Serve_Growth,Paid_Search,2024-01-10,1,300000.0,350.26382682995643,500,0.925,0.01,3
31,Self_Serve_Growth,Paid_Search,2024-01-29,1,300000.0,350.26382682995643,500,0.925,0.01,3
32,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
33,Self_Serve_Growth,Paid_Search,2024-01-10,1,300000.0,350.26382682995643,500,0.925,0.01,3
34,Self_Serve_Growth,Paid_Search,2024-01-14,1,300000.0,350.26382682995643,500,0.925,0.01,3
35,Self_Serve_Growth,Paid_Search,2024-01-15,1,300000.0,350.26382682995643,500,0.925,0.01,3
36,Mid_Market_Pragmatist,Paid_Search,2024-01-23,1,300000.0,350.26382682995643,1500,0.955,0.08,35
37,Self_Serve_Growth,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,500,0.925,0.01,3
38,Mid_Market_Pragmatist,Paid_Search,2024-01-16,1,300000.0,350.26382682995643,1500,0.955,0.08,35
39,Self_Serve_Growth,Paid_Search,2024-01-15,1,300000.0,350.26382682995643,500,0.925,0.01,3
40,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
41,Self_Serve_Growth,Paid_Search,2024-01-28,1,300000.0,350.26382682995643,500,0.925,0.01,3
42,Self_Serve_Growth,Paid_Search,2024-01-09,1,300000.0,350.26382682995643,500,0.925,0.01,3
43,Mid_Market_Pragmatist,Paid_Search,2024-01-13,1,300000.0,350.26382682995643,1500,0.955,0.08,35
44,Mid_Market_Pragmatist,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,1500,0.955,0.08,35
45,Self_Serve_Growth,Paid_Search,2024-01-01,1,300000.0,350.26382682995643,500,0.925,0.01,3
46,Mid_Market_Pragmatist,Paid_Search,2024-01-24,1,300000.0,350.26382682995643,1500,0.955,0.08,35
47,Mid_Market_Pragmatist,Paid_Search,2024-01-19,1,300000.0,350.26382682995643,1500,0.955,0.08,35
48,Self_Serve_Growth,Paid_Search,2024-01-03,1,300000.0,350.26382682995643,500,0.925,0.01,3
49,Self_Serve_Growth,Paid_Search,2024-01-27,1,300000.0,350.26382682995643,500,0.925,0.01,3
50,Mid_Market_Pragmatist,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,1500,0.955,0.08,35
51,Self_Serve_Growth,Paid_Search,2024-01-28,1,300000.0,350.26382682995643,500,0.925,0.01,3
52,Self_Serve_Growth,Paid_Search,2024-01-08,1,300000.0,350.26382682995643,500,0.925,0.01,3
53,Self_Serve_Growth,Paid_Search,2024-01-01,1,300000.0,350.26382682995643,500,0.925,0.01,3
54,Mid_Market_Pragmatist,Paid_Search,2024-01-23,1,300000.0,350.26382682995643,1500,0.955,0.08,35
55,Self_Serve_Growth,Paid_Search,2024-01-05,1,300000.0,350.26382682995643,500,0.925,0.01,3
56,Self_Serve_Growth,Paid_Search,2024-01-08,1,300000.0,350.26382682995643,500,0.925,0.01,3
57,Mid_Market_Pragmatist,Paid_Search,2024-01-03,1,300000.0,350.26382682995643,1500,0.955,0.08,35
58,Self_Serve_Growth,Paid_Search,2024-01-05,1,300000.0,350.26382682995643,500,0.925,0.01,3
59,Self_Serve_Growth,Paid_Search,2024-01-03,1,300000.0,350.26382682995643,500,0.925,0.01,3
60,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
61,Mid_Market_Pragmatist,Paid_Search,2024-01-14,1,300000.0,350.26382682995643,1500,0.955,0.08,35
62,Self_Serve_Growth,Paid_Search,2024-01-09,1,300000.0,350.26382682995643,500,0.925,0.01,3
63,Self_Serve_Growth,Paid_Search,2024-01-26,1,300000.0,350.26382682995643,500,0.925,0.01,3
64,Mid_Market_Pragmatist,Paid_Search,2024-01-13,1,300000.0,350.26382682995643,1500,0.955,0.08,35
65,Mid_Market_Pragmatist,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,1500,0.955,0.08,35
66,Self_Serve_Growth,Paid_Search,2024-01-29,1,300000.0,350.26382682995643,500,0.925,0.01,3
67,Self_Serve_Growth,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,500,0.925,0.01,3
68,Mid_Market_Pragmatist,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,1500,0.955,0.08,35
69,Self_Serve_Growth,Paid_Search,2024-01-11,1,300000.0,350.26382682995643,500,0.925,0.01,3
70,Mid_Market_Pragmatist,Paid_Search,2024-01-13,1,300000.0,350.26382682995643,1500,0.955,0.08,35
71,Mid_Market_Pragmatist,Paid_Search,2024-01-27,1,300000.0,350.26382682995643,1500,0.955,0.08,35
72,Self_Serve_Growth,Paid_Search,2024-01-28,1,300000.0,350.26382682995643,500,0.925,0.01,3
73,Self_Serve_Growth,Paid_Search,2024-01-13,1,300000.0,350.26382682995643,500,0.925,0.01,3
74,Mid_Market_Pragmatist,Paid_Search,2024-01-21,1,300000.0,350.26382682995643,1500,0.955,0.08,35
75,Self_Serve_Growth,Paid_Search,2024-01-28,1,300000.0,350.26382682995643,500,0.925,0.01,3
76,Mid_Market_Pragmatist,Paid_Search,2024-01-20,1,300000.0,350.26382682995643,1500,0.955,0.08,35
77,Self_Serve_Growth,Paid_Search,2024-01-11,1,300000.0,350.26382682995643,500,0.925,0.01,3
78,Mid_Market_Pragmatist,Paid_Search,2024-01-23,1,300000.0,350.26382682995643,1500,0.955,0.08,35
79,Self_Serve_Growth,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,500,0.925,0.01,3
80,Self_Serve_Growth,Paid_Search,2024-01-01,1,300000.0,350.26382682995643,500,0.925,0.01,3
81,Mid_Market_Pragmatist,Paid_Search,2024-01-30,1,300000.0,350.26382682995643,1500,0.955,0.08,35
82,Mid_Market_Pragmatist,Paid_Search,2024-01-13,1,300000.0,350.26382682995643,1500,0.955,0.08,35
83,Self_Serve_Growth,Paid_Search,2024-01-07,1,300000.0,350.26382682995643,500,0.925,0.01,3
84,Mid_Market_Pragmatist,Paid_Search,2024-01-27,1,300000.0,350.26382682995643,1500,0.955,0.08,35
85,Self_Serve_Growth,Paid_Search,2024-01-05,1,300000.0,350.26382682995643,500,0.925,0.01,3
