month,channel,spend,adstocked_spend,raw_expected_customers,efficiency_multiplier,expected_customers,actual_customers,response_type,theta,beta,k,alpha,lam
1,Paid_Search,300000.0,300000.0,350.26382682995643,1.0,350.26382682995643,344,log,0.2,180.0,2e-05,,
2,Paid_Search,300000.0,360000.0,378.74414776863733,1.0,378.74414776863733,400,log,0.2,180.0,2e-05,,
3,Paid_Search,300000.0,372000.0,383.9368155494158,1.0,383.9368155494158,368,log,0.2,180.0,2e-05,,
4,Paid_Search,240000.0,314400.0,357.5212487923783,1.0,357.5212487923783,377,log,0.2,180.0,2e-05,,
5,Paid_Search,240000.0,302880.0,351.73890906633693,1.0,351.73890906633693,349,log,0.2,180.0,2e-05,,
6,Paid_Search,240000.0,300576.0,350.55981191469215,1.0,350.55981191469215,332,log,0.2,180.0,2e-05,,
7,Paid_Search,180000.0,240115.2,316.4859144093989,1.0,316.4859144093989,316,log,0.2,180.0,2e-05,,
8,Paid_Search,180000.0,228023.04,308.8225768547099,1.0,308.8225768547099,316,log,0.2,180.0,2e-05,,
9,Paid_Search,450000.0,495604.608,430.1768784263835,0.878447395301328,377.8877583725126,382,log,0.2,180.0,2e-05,,
10,Paid_Search,450000.0,549120.9216,447.0192800582205,0.878447395301328,392.68292221661864,352,log,0.2,180.0,2e-05,,
11,Paid_Search,450000.0,559824.18432,450.2065837984047,0.878447395301328,395.48280088521767,416,log,0.2,180.0,2e-05,,
12,Paid_Search,540000.0,651964.836864,475.53485533304405,0.8090310442144873,384.7224605704778,401,log,0.2,180.0,2e-05,,
1,Content,120000.0,120000.0,172.5858041398231,1.0,172.5858041398231,172,log,0.6,150.0,1.8e-05,,
2,Content,120000.0,192000.0,224.13772539374744,1.0,224.13772539374744,221,log,0.6,150.0,1.8e-05,,
3,Content,120000.0,235200.0,248.26490667029736,1.0,248.26490667029736,210,log,0.6,150.0,1.8e-05,,
4,Content,96000.0,237120.0,249.252173321628,1.0,249.252173321628,269,log,0.6,150.0,1.8e-05,,
5,Content,96000.0,238272.0,249.84142926570993,1.0,249.84142926570993,268,log,0.6,150.0,1.8e-05,,
6,Content,96000.0,238963.19999999998,250.19387491121378,1.0,250.19387491121378,284,log,0.6,150.0,1.8e-05,,
